name,class,introduction,learner_number,description,path,difficulty,duration,comprehensive_score,evaluation_number,utility_score,concise_score,logic_score,当前链接,上级链接,下载时间
Python数据预处理（二）- 清洗文本数据,Python自然语言处理,教会你使用Python数据预处理,5856,本课介绍数据预处理过程体系，包括数据类型与采集、文本转化与抽取、数据集成与规约、中文分词、数据清洗、特征提取与变换、特征向量化、特征降维、特征选择、可视化、词典模型、TF-IDF向量模型、主题模型等。,课程\后端开发\Python\Python数据预处理（二）-清洗文本数据,中级," 3小时47分",8.43,11,9.5,8.0,7.8,http://www.imooc.com/learn/1122,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:04
VSCode入门,前端工具,学习前端开发工具VSCode的基本使用方法。,27356,本课程，面向0基础的小白用户，学习一个功能强大、操作简单的前端编程工具，学会本课程你将不再担心编辑器的配置与使用，轻松学习编程。,课程\前端开发\前端工具\VSCode入门,入门," 1小时32分",9.60,68,9.6,9.7,9.5,http://www.imooc.com/learn/1106,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:05
初识HTML(5)+CSS(3)-2020升级版,HTML/CSS,HTML(5)+CSS(3)基础教程8小时带领大家步步深入学习标签用法和意义,1124381,2020升级版来了，课程将持续更新....本课程从最基本的概念开始讲起，步步深入，带领大家学习HTML(5)、CSS(3)样式基础知识，了解各种常用标签的意义以及基本用法，后半部分教程主要讲解CSS(3)样式代码添加，为后面的案例课程打下基础。,课程\前端开发\HTML/CSS\初识HTML(5)+CSS(3)-2020升级版,入门," 9小时18分",9.50,9343,9.8,9.5,9.2,http://www.imooc.com/learn/9,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:05
我的云音乐（一）,Android,"高仿网易云音乐，从零开始开发一款专属自己的音乐APP。
",12359,不仅能学到自定义控件、第三方框架、Realm数据库等知识点，最终还能完成一个炫酷的音乐APP。,课程\移动开发\Android\我的云音乐（一）,中级," 3小时 0分",9.63,14,9.3,9.6,10.0,http://www.imooc.com/learn/1104,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:06
Android多种方式实现流式布局,Android,本课程将带大家通过自定义FlowLayout等方式实现Android中的流式布局。,2864,课程不仅详细介绍了自定义ViewGroup开发的详细步骤，还会教会大家如何利用通用方案优雅的解决复杂问题。课程最后会手把手带大家利用自定义的TagFlowLayout实现标签的单选多选效果。,课程\移动开发\Android\Android多种方式实现流式布局,中级," 2小时26分",9.40,9,10.0,9.1,9.1,http://www.imooc.com/learn/1141,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:06
Java入门第一季,Java,本教程从Java环境搭建、工具使用、基础语法开始，带你入门,1068145,本教程为Java入门第一季，欢迎来到精彩的Java编程世界！Java语言已经成为当前软件开发行业中主流的开发语言。本教程将介绍Java环境搭建、工具使用、基础语法。带领大家一步一步的踏入Java达人殿堂！Let’sgo!,课程\后端开发\Java\Java入门第一季,入门," 5小时 0分",9.57,5954,9.8,9.5,9.4,http://www.imooc.com/learn/85,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:07
《MAYA-98k次时代建模》-上,动效动画,Maya道具98k次世代模型制作,2048,本课程从Maya工程目录的创建、高模低模的制作、UV的拆分、法线贴图的烘培、贴图的制作到最终模型渲染出效果图，完整的介绍了Maya次世代模型制作的整个流程，每个知识点都有详细的介绍。这个课程对想学习游戏次世代模型的同学来说，起到了抛砖引玉的作用，非常适合初学者进行学习。,课程\UI设计&多媒体\动效动画\《MAYA-98k次时代建模》-上,初级," 4小时56分",8.90,3,8.7,8.0,10.0,http://www.imooc.com/learn/1098,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:07
Flink最锋利的武器---FlinkSQL入门和实战,大数据,Flink新版本特性以及Flink SQL在实际项目中的应用。,3795,本课程包含Flink重要的概念和编程模型，FlinkDataset和DataStreamAPI详解，FlinkTable和SQL的算子操作以及在实际问题中的应用。并且通过案例入手讲解FlinkSQL在生产环境的使用。,课程\云计算&大数据\大数据\Flink最锋利的武器---FlinkSQL入门和实战,初级," 2小时35分",10.00,2,10.0,10.0,10.0,http://www.imooc.com/learn/1113,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:07
C语言入门,C,C语言入门视频教程，带你进入编程世界的必修课-C语言,821235,本C语言教程从以下几个模块来贯穿主要知识点：初始C程序、数据类型、运算符、语句结构、函数和数组。每个阶段都配有练习题同时提供在线编程任务。希望通过本教程帮助C语言入门学习者迅速掌握程序逻辑并开始C语言编程。,课程\后端开发\C\C语言入门,入门," 4小时50分",9.43,2839,9.7,9.4,9.2,http://www.imooc.com/learn/249,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:08
极速入门SpringCloud之API网关与服务发现,JavaSpring Cloud,"SpringCloud微服务实战，从架构到网关到服务发现。
",17100,基于SpringBoot的SpringCloud是微服务架构的集大成者，将一系列优秀的组件进行了整合。本课程先介绍了微服务架构SpringCloud各个组件的应用场景，其次挖掘业界内各个组件的使用情况，然后介绍组件的架构及实现原理，最后通过简单的实例来熟悉该组件，为分析源码或者定制组件提供了基础。,课程\后端开发\Java\极速入门SpringCloud之API网关与服务发现,初级," 1小时30分",8.87,25,8.6,9.0,9.0,http://www.imooc.com/learn/1134,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:08
PHP加密,PHP,为什么要使用加密，让我们对密码学有个初步的认识。,4456,1.课程简介2.密码初始，了解课几种历史上的加密方法，学会异或操作，了解DES、AES加密算法3.DES加密实践学习使用DES加密4.AES加密实践学习实践AES加密5.RSA加密原理学习明白非对称加密算法6.RSA加密实践学会使用RSA加密7.中间人攻击了解明白什么时中间人攻击8.Hash函数学习学会使用MD5函数9.综合实践结合所学知识，做一个综合实践10.总结回顾总结课程所学,课程\后端开发\PHP\PHP加密,中级," 2小时30分",9.33,12,9.5,8.7,9.8,http://www.imooc.com/learn/1133,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:08
APP UI 动效入门案例,动效动画,手把手带你实操动效案例,8960,本门课程主要从0到1，手把手带你完成登机牌案例以及企业常用的app启动页动效案例,课程\UI设计&多媒体\动效动画\APPUI动效入门案例,入门," 1小时25分",10.00,2,10.0,10.0,10.0,http://www.imooc.com/learn/1103,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:09
初识Python,Python,学python入门视频教程，让你快速入门并能编写简单的Python程序,754372,Python教程基础分《Python入门》和《Python进阶》两门课程，本视频教程是Python第一门课程，是Python开发的入门教程，将介绍Python语言的特点和适用范围，Python基本的数据类型，条件判断和循环，函数，以及Python特有的切片和列表生成式。希望本python教程能够让您快速入门并编写简单的Python程序。,课程\后端开发\Python\初识Python,入门," 5小时 0分",9.43,3736,9.7,9.4,9.2,http://www.imooc.com/learn/177,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:09
解密IconFont字体图标,Html5CSS3,从0到1，逐步解密前端开发中的图标演变以及必备使用技巧,5006,本课程，面向具备html、css的用户，通过代码示例演示，对比传统图标和字体图标优劣，学习并掌握前端必备的字体图标使用技巧。,课程\前端开发\Html5\解密IconFont字体图标,初级," 4小时50分",9.43,13,9.4,9.4,9.5,http://www.imooc.com/learn/1132,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:09
玩转MySQL8.0新特性,JavaMySQL,技术要与时俱进，探秘MySQL8.0新特性,18167,无论是强大的通用表表达式和窗口函数，还是增强的账户安全和方便的账户管理，又或是大量的代码重构，以及由此带来的许多InnoDB存储引擎增强，各种查询优化器的改进，以及对NoSQL的进一步支持，都在提示我们，MySQL8.0是一个非常具有里程碑意义的版本。好东西当然应该大家一起分享，所以有了这门课程。本课程不只有概念，更注重实战，所有内容均有实际操作，欢迎来看。,课程\后端开发\Java\玩转MySQL8.0新特性,入门," 3小时 0分",9.47,5,10.0,10.0,8.4,http://www.imooc.com/learn/1102,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:10
Presto实战与演练,大数据,学习并操作Presto，实战数据查询及可视化系统。,1907,SQLOnHadoop因SQL简单易用等特点一直是各大公司致力实现的目标，本门课程从Hive到Presto，了解大数据中的SQL查询引擎和数据仓库的构建，并基于Presto实现数据查询及可视化系统。,课程\云计算&大数据\大数据\Presto实战与演练,中级," 3小时 0分",9.47,5,8.4,10.0,10.0,http://www.imooc.com/learn/647,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:11
JavaScript入门篇,JavaScript,JavaScript做为一名Web工程师的必备技术，本教程让您快速入门,691043,本教程让您快速认识JavaScript，熟悉JavaScript基本语法、窗口交互方法和通过DOM进行网页元素的操作，学会如何编写JS代码，如何运用JavaScript去操作HTML元素和CSS样式，本JavaScript教程分为四个章节，能够让您快速入门，为JavaScript深入学习打下基础。,课程\前端开发\JavaScript\JavaScript入门篇,入门," 1小时35分",9.57,5449,9.8,9.5,9.4,http://www.imooc.com/learn/36,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:11
我的云音乐（三）,Android,高仿网易云音乐，从零开始开发一款专属自己的音乐APP。,3014,不仅能学到自定义控件、第三方框架、Realm数据库等知识点，最终还能完成一个炫酷的音乐APP。,课程\移动开发\Android\我的云音乐（三）,中级," 3小时25分",9.77,11,10.0,9.3,10.0,http://www.imooc.com/learn/1115,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:11
PS入门教程——新手过招,设计工具,慕课网推出的PS入门教程，PS入门学习必备课程，带你轻松入门,607602,慕课网推出的PS入门教程，PS入门学习必备课程，本课程将带你从PS的基本界面开始熟悉，ps入门课程主要分为三个章节，ps基本工具，ps选择与变形，ps色彩调整，通过小案例来学习简单的工具，终极目标就是先揭开PS的面纱，让你掌握PS的基本用法。,课程\UI设计&多媒体\设计工具\PS入门教程——新手过招,入门," 9小时45分",9.67,420,9.9,9.7,9.4,http://www.imooc.com/learn/139,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:12
5G时代Vlog原型系统开发,Go设计工具,Vlog创造了一大批“网红”，来学Vlog系统开发，做第一批吃螃蟹的人！,10899,2018年是短视频爆发的一年，短视频战场在各大互联网公司呈现“群雄逐鹿”状态。进入2019年，vlog成为短视频的下一个风口，像百度就要补贴5亿给vlog作者。作为互联网产品开发的技术人员，跟随风口走才能成为市场上炙手可热的人才，所以有了我们这一门vlog系统的课程。在本门课程中，我们使用流行的golang语言进行开发，紧跟技术潮流。本课程的讲解中，注重全方位能力的培养，并且技术细节的讲解透彻，技术实现简单合理，欢迎大家学习。,课程\前端开发\HTML/CSS\5G时代Vlog原型系统开发,中级," 1小时30分",7.93,9,7.1,8.9,7.8,http://www.imooc.com/learn/1131,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:12
HBase高可用及多租户环境应用,大数据,通过对Hbase添加权限控制、用户配额、资源隔离，实现Hbase多租户环境。,3060,"本课程从HBase应用场景开始讲解,带领搭建完成Ntp服务安装、Hadoop集群搭建、Zookeeper集群搭建、HbaseHA设计及搭建、通过添加协处理器为Hbase添加权限控制、用户配额、资源隔离实现Hbase多租户，并通过订单业务、海量数据写入业务验证Hbase多租户环境。",课程\云计算&大数据\大数据\HBase高可用及多租户环境应用,中级," 3小时58分",9.83,4,9.5,10.0,10.0,http://www.imooc.com/learn/294,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:13
3小时极简春节抢红包之Go的实战,设计工具算法,【毕业设计】春节抢红包业务资金交易秒杀系统的架构设计和Golang实战,9012,本课程以红包业务场景为背景，从业务需求和用例分析，到业务模型分析，产生核心骨干模型，再进一步架构设计和数据设计，完成红包业务系统的设计，包括各个子系统设计、子系统接口，并使用golang语言来实战开发，构建一个完整的红包业务系统。,课程\后端开发\Go\3小时极简春节抢红包之Go的实战,入门," 3小时30分",9.13,13,9.4,9.4,8.6,http://www.imooc.com/learn/1101,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:13
用技术打造小程序简历，让面试官耳目一新,,"小程序简历，别出心裁，让面试官记忆犹新
",2081,,课程\前端开发\JavaScript\用技术打造小程序简历，让面试官耳目一新,入门," 3小时30分",,,,,,http://www.imooc.com/course/introduction/id/1221,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:13
Python数据预处理（一）一抽取多源数据文本信息,Python自然语言处理,Python数据预处理---人工智能通用技术,11133,本课程由数据预处理整个流程到综合实战。包括：Anaconda、Sublime、Pywin32、数据采集、数据集成、缺失值处理、正则、jieba分词、NLTK、词袋模型、数据抽样、特征词抽取、文本向量化、gensim、数据降维、numpy、sicpy、pandas、matplotlib、seabom、Xgboost等核心技术。,课程\后端开发\Python\Python数据预处理（一）一抽取多源数据文本信息,初级," 1小时38分",9.23,15,9.6,8.5,9.6,http://www.imooc.com/learn/1105,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:14
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-下,动效动画,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,2983,在电影《攻壳机动队》（2017年）中，电影的开篇动画展现了未来世界中具有人类大脑和灵魂的生化机器人的制造过程。科技感十足，可谓精彩绝伦。其中，生化机器人的表层涂料开裂，脱落，飘散的动画效果，让人过目难忘，给观众留下了深刻的印象。类似的效果，在《变形金刚4》等电影中也曾出现过。在此，我们在Maya平台下，利用布料特效系统，模仿电影《攻壳机动队》中的这一效果，给大家讲解表皮脱落这类特效动画的制作原理、制作流程及制作方法。,课程\UI设计&多媒体\动效动画\Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-下,入门," 2小时19分",8.67,2,10.0,10.0,6.0,http://www.imooc.com/learn/1081,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:14
MyBatis-Plus入门,Java,MyBatis-Plus框架入门必学课程！,31512,Mybatis-Plus（MP）在MyBatis的基础上只做增强不做改变，简化开发、提高效率。本课程从现有持久层框架存在的问题切入，引出MP在项目开发中能为我们解决哪些问题。课程中细致地讲解了MP的核心功能；并且结合实际场景，讲解了某些方法在特定场景下的使用。如果想进一步提升，请观看《MyBatis-Plus进阶》课程，链接在此：https://www.imooc.com/learn/1171,课程\后端开发\Java\MyBatis-Plus入门,高级," 4小时 0分",9.60,68,9.8,9.4,9.6,http://www.imooc.com/learn/1130,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:15
uni-app 5小时快速入门,,uni-app 零基础实现to-do应用,4120,,课程\前端开发\Vue.js\uni-app5小时快速入门,入门," 5小时18分",,,,,,http://www.imooc.com/course/introduction/id/1215,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:15
学习软件测试的进阶之路,测试,一门课让你学懂软件测试之路如何发展,20857,本门课程主要讲解新时代软件测试人员的职责、功能测试、性能测试等知识，让测试人员能更好的掌握学习路线。,课程\运维&测试\测试\学习软件测试的进阶之路,初级," 2小时50分",9.50,15,8.5,10.0,10.0,http://www.imooc.com/learn/1097,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:15
玩转Vim  从放弃到爱不释手,Linux,作为程序员你还不知道编辑器之神 Vim 吗，带你从零开始学习 vim 编辑器。,17195,Vim作为一个强大的编辑器，是很多巨佬的不二之选，但因为其较高的入门学习门槛劝退了很多人。中文的系统教程少之又少，讲vim插件使用的更是屈指可数，本课程从vim最基础的操作和概念开始讲起，带领大家学会使用和配置vim，安装强大的vim插件，真正掌握编辑器之神vim的使用。,课程\运维&测试\Linux\玩转Vim从放弃到爱不释手,中级," 5小时 9分",9.77,19,9.9,9.4,10.0,http://www.imooc.com/learn/1129,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:16
当React遇上TypeScript开发Antd组件,React.JSTypescript,介绍TS、React相关的知识，并用这些知识去实现Antd组件库中的弹框组件。,520,本课程介绍了TypeScript的配置、泛型；ReactDom中的api；antd中的feedback、classname基础组件等等相关知识，最后我们用这些知识实现了antd组件库中的Alert、Operation、Prompt三种弹框。,课程\前端开发\React.JS\当React遇上TypeScript开发Antd组件,高级," 2小时55分",10.00,0,10.0,10.0,10.0,http://www.imooc.com/learn/1234,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:16
Android中的Http通信,Android,本次课程将带领大家掌握Android中的Http基础及对okhttp的封装使用。 ,8269,本门课程会带大家从Http基础知识包括Http协议，HttpURLConnection类的使用以及get、post、put、delete请求的处理开始，学习掌握json数据格式及解析方式，学习封装okhttp框架来适应现在主流app的使用，最后还会为大家总结Android中网络处理的常见问题和经验技巧。,课程\移动开发\Android\Android中的Http通信,初级," 2小时58分",9.40,12,9.7,8.8,9.7,http://www.imooc.com/learn/1094,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:17
Egg.js 框架入门与实战,JavaScriptNode.js,Egg.js 基础讲解，以及结合 Vue.js 开发一个信息展示的小网站。,5755,目前项目中Node.js的需求是越来越多，简单的内部系统、Socket通信服务、官网等，开发难度也越来越大，而Egg.js就是一款解决企业级开发问题的Node.js框架。本课程将从Egg.js的入门知识开始讲解，并附上一个实际的案例来加深对框架的掌握。,课程\前端开发\JavaScript\Egg.js框架入门与实战,中级," 2小时 0分",9.60,17,9.2,9.8,9.8,http://www.imooc.com/learn/1185,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:17
使用ViewPager实现卡片式问答项目（下）,Android,本门课程将带大家利用ViewPager等技术实现卡片式问答项目下半部分的学习,2443,本门课程将带大家从零开始开发一个在线答题app。本课程分为“上”和“下”两个部分，在“上”中，我们已经从需求分析开始，使用mvp构建模式搭建框架，完成项目的布局，网络数据请求，答题控件开发和逻辑实现。“下”中，我们将完成表情雨的特效实现，卡片的切换动画效果，使用GreenDao实现数据的持久化，底部广告条的实现，掌握项目的异常处理以及git管理项目和开源项目发布等技术。,课程\移动开发\Android\使用ViewPager实现卡片式问答项目（下）,入门," 1小时44分",9.47,5,9.6,8.8,10.0,http://www.imooc.com/learn/1126,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:19
破解Retrofit,Android,带你深度剖析网络请求框架Retrofit,4490,Retrofit是一个很优秀的网络请求框架，它运用了Java的一些比较有趣却又多少有些讳莫如深的特性来做到这一点，你肯定很好奇这些特性究竟是怎么回事，也很想了解他们还能用在哪里，来吧，这门课将会给出你想要的答案。,课程\移动开发\Android\破解Retrofit,中级," 3小时45分",9.77,11,10.0,9.5,9.8,http://www.imooc.com/learn/1128,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:19
2小时实战Apache顶级项目-RPC框架Dubbo分布式服务调度,Java,快速入门并实战分布式任务调度框架Dubbo,16849,当前正是微服务、分布式等相关技术盛行的时代，服务与服务之间、接口与接口之间如何进行通信是每个系统架构都会面临的事情。Dubbo作为当前应用相当广泛的服务调度框架，在服务之间的通信起到了关键性的作用。本课程将以代码实战为主、理论概念为辅，一步一个脚印从认识与理解Dubbo开始到基于SpringBoot整合Dubbo搭建实际的企业级应用实战相关实际项目的典型业务场景，讲解了如何采用Dubbo发布、注册服务到注册中心Zookeeper以及如何订阅、调用服务。本课程由浅入深，适合各阶段工程师、程序员观看。,课程\后端开发\Java\2小时实战Apache顶级项目-RPC框架Dubbo分布式服务调度,初级," 2小时30分",9.20,24,9.3,8.8,9.5,http://www.imooc.com/learn/1096,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:19
Echarts4.0数据可视化-2小时快速入门,,2小时快速入门ECharts4.0开发,143,,课程\前端开发\JavaScript\Echarts4.0数据可视化-2小时快速入门,初级," 2小时30分",,,,,,http://www.imooc.com/course/introduction/id/1232,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:19
数据可视化利器之Matplotlib,Python数据分析,使用Python的2D绘图库—Matplotlib实现数据的可视化操作,4907,本课程主要讲解了运用JupyterNotebook+Matplotlib实现数据可视化多种方式，主要包括交互式笔记本JupyterNotebook的环境搭建、可视化基础图形的绘制和应用、可视化高阶图形的绘制和应用，从而使大家充分掌握数据可视化的主要内容。,课程\后端开发\Python\数据可视化利器之Matplotlib,初级," 1小时28分",9.60,7,9.4,9.7,9.7,http://www.imooc.com/learn/1178,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:19
Mybatis缓存详解,Java,学习mybatis一级缓存、二级缓存及自定义缓存的使用,1003,基于mybatis3.5.1版本，全面介绍mybatis一级缓存、二级缓存以及自定义缓存的使用方法、实现原理、应用场景、优缺点等，并进行现场验证,课程\后端开发\Java\Mybatis缓存详解,初级," 3小时 3分",10.00,0,10.0,10.0,10.0,http://www.imooc.com/learn/1238,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:20
AWS平台上微服务与无服务的实践与应用,云计算AWS,学习AWS微服务架构开发、平台演进过程与应用实例,1879,了解微服务的概念、我们为什么需要微服务、如何在AWS平台上进行微服务架构开发，并以生动形象的实例讲解微服务的应用过程；了解什么是MongoDBCloud，以及如何在MongoDBCloud上构建无服务器化应用,课程\云计算&大数据\大数据\AWS平台上微服务与无服务的实践与应用,中级," 4小时 0分",9.77,3,9.3,10.0,10.0,http://www.imooc.com/learn/1179,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:21
NLP基础+实战 让机器“写小说”,深度学习自然语言处理,阐述自然语言处理入门所需的基本开发原理，利用主流开发框架处理NLP问题,3196,本次课程，最大程度基于实际项目需要，介绍主流的自然语言处理方法，涉及的主要术语以及术语解释，采用Google成熟的机器学习框架tensorflow进行编码实现。课程涉及中文分词、逻辑回归、word2vec以及RNN的算法实现，全部以中文素材进行模型训练，最大限度贴近实战。学员通过课程学习可以掌握目前互联网企业应用的基本NLP框架，熟悉模型训练、模型分发和使用的流程，最终可以应用到实际生产项目中。,课程\前沿技术\深度学习\NLP基础+实战让机器“写小说”,中级," 3小时17分",7.90,6,8.0,7.7,8.0,http://www.imooc.com/learn/1216,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:21
手把手从0打造电商网页开发,HTML/CSSJavaScript,手把手教你实现电商网站开发之高仿京东商城网页,2824,本课程主要介绍电商网站基本制作流程，通过电商网站分步的教学让大家了解和掌握电商网站制作的流程和注意事项。并且运用网站内学习过的知识点，更加快速的掌握整站的开发过程，增加开发经验。,课程\前端开发\HTML/CSS\手把手从0打造电商网页开发,入门," 5小时30分",10.00,0,10.0,10.0,10.0,http://www.imooc.com/learn/1236,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:21
